GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.dataaccess.entity,ScreeningEntity,54,0,0,0,19,0,10,0,10,0
ticket-service,com.epam.training.ticketservice.dataaccess.entity,MovieEntity,32,0,0,0,11,0,7,0,7,0
ticket-service,com.epam.training.ticketservice.dataaccess.entity,AdminEntity,28,0,0,0,10,0,6,0,6,0
ticket-service,com.epam.training.ticketservice.dataaccess.entity,RoomEntity,32,0,0,0,11,0,7,0,7,0
ticket-service,com.epam.training.ticketservice.repository.mapper,ScreeningMapper,34,0,0,0,4,0,4,0,4,0
ticket-service,com.epam.training.ticketservice.repository.impl,JpaRoomRepository,127,0,8,0,31,0,13,0,9,0
ticket-service,com.epam.training.ticketservice.repository.impl,JpaAdminRepository,53,0,2,0,15,0,6,0,5,0
ticket-service,com.epam.training.ticketservice.repository.impl,JpaMovieRepository,152,0,12,0,38,0,16,0,10,0
ticket-service,com.epam.training.ticketservice.repository.impl,JpaScreeningRepository,118,0,6,0,25,0,13,0,10,0
ticket-service,com.epam.training.ticketservice.presentation.handler,AdminCommandHandler,27,0,0,0,11,0,3,0,3,0
ticket-service,com.epam.training.ticketservice.presentation.handler,ScreeningCommandHandler,96,0,8,0,32,0,8,0,4,0
ticket-service,com.epam.training.ticketservice.presentation.handler,MovieCommandHandler,107,0,10,0,35,0,10,0,5,0
ticket-service,com.epam.training.ticketservice.presentation.handler,RoomCommandHandler,111,0,10,0,36,0,11,0,6,0
ticket-service,com.epam.training.ticketservice.repository.RepositoryException,AdminAccountNotExistsException,4,0,0,0,2,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.repository.RepositoryException,MovieAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.repository.RepositoryException,InvalidRuntimeException,4,0,0,0,2,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.repository.RepositoryException,ScreeningNotFoundException,4,0,0,0,2,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.repository.RepositoryException,MovieNotFoundException,4,0,0,0,2,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.repository.RepositoryException,RoomAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.repository.RepositoryException,RoomNotFoundException,4,0,0,0,2,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.repository.RepositoryException,InvalidPasswordException,4,0,0,0,2,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.repository.RepositoryException,OverlappingException,4,0,0,0,2,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.domain,Screening,63,0,0,0,22,0,7,0,7,0
ticket-service,com.epam.training.ticketservice.domain,Room,22,12,0,0,4,5,4,1,4,1
ticket-service,com.epam.training.ticketservice.domain,Movie,17,12,0,0,4,5,4,1,4,1
ticket-service,com.epam.training.ticketservice.domain,Admin,14,15,0,0,3,6,3,2,3,2
ticket-service,com.epam.training.ticketservice.presentation,CliApplication,8,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.presentation,TicketServicePromptProvider,8,0,0,0,2,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.dataaccess.init,AdminInitializer,19,0,0,0,6,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.presentation.configuration,CliConfiguration,3,0,0,0,1,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.dataaccess.configuration,JpaConfiguration,3,0,0,0,1,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.service,MovieService,6,29,0,0,2,7,0,5,0,5
ticket-service,com.epam.training.ticketservice.service,AdminService,38,30,3,1,11,8,4,2,2,2
ticket-service,com.epam.training.ticketservice.service,ScreeningService,184,0,20,0,35,0,21,0,11,0
ticket-service,com.epam.training.ticketservice.service,RoomService,18,17,0,0,4,5,2,3,2,3
